timestamp,request_type,position,creative_type,kv_value
2022-03-11T04:14:50.588Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T04:07:55.016Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T03:58:45.932Z, static.video, static_iphone_320x480, video, mVp32
2022-03-11T03:56:39.342Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T03:55:44.954Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T03:55:35.931Z, static.video, static_iphone_320x480, static, mFSp136
2022-03-11T03:53:36.613Z, static.video, static_iphone_320x480, video, mVp5
2022-03-11T03:47:09.456Z, static.video, static_iphone_320x480, video, mVp36
2022-03-11T03:45:53.496Z, static.video, static_iphone_320x480, video, mFSp136
2022-03-11T03:36:42.958Z, static.video, static_iphone_320x480, video, mVp11
2022-03-11T03:35:17.466Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T03:32:26.871Z, static.video, static_iphone_320x480, video, mFSp136
2022-03-11T03:24:36.283Z, static.video, static_iphone_320x480, video, mFSp48
2022-03-11T03:21:00.584Z, static.video, static_iphone_320x480, video, mFSp35
2022-03-11T03:20:15.258Z, static.video, static_iphone_320x480, static, mFSp136
2022-03-11T03:19:39.062Z, static.video, interstitial, video, mVp12
2022-03-11T03:17:41.958Z, static.video, static_iphone_320x480, video, mFSp66
2022-03-11T03:07:48.685Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T03:01:48.305Z, static.video, static_iphone_320x480, static, mFSp28
2022-03-11T03:01:21.767Z, static.video, interstitial, video, mVp28
2022-03-11T02:59:51.130Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T02:49:20.446Z, static.video, static_iphone_320x480, video, mFSp25
2022-03-11T02:43:55.524Z, static.video, static_iphone_320x480, video, mFSp136
2022-03-11T02:42:15.055Z, static.video, interstitial, static, mFSp22
2022-03-11T02:35:14.985Z, static.video, static_iphone_320x480, video, mVp4
2022-03-11T02:27:42.984Z, static.video, static_iphone_320x480, video, mFSp49
2022-03-11T02:21:01.465Z, static.video, static_iphone_320x480, video, mVp9
2022-03-11T02:19:47.988Z, static.video, static_iphone_320x480, video, mVp6
2022-03-11T02:16:54.080Z, static.video, static_iphone_320x480, video, mVp7
